Transect ,Date,Time,Relative Humidity ,Temperature,Air Pressure hPa,Soil Moisture,Mat Depth,Sward Length,Light Intensity,Light unit,Dung,Dominant Vegetation ,Coordinates
DF1.1,21/05/2022,10:19,59.7,15.7,1022.3,7.6,2,5,536,,0,Bare,"51.40908° N, 0.64425° W"
DF1.2,21/05/2022,10:55,61.1,16.1,1022,4.7,2.7,9,940,,0,Bare,"51.40869° N, 0.64495° W"
DF2.1,21/05/2022,11:06,60.6,15.5,1022,7.4,6.2,6,1317,,,Bare,"51.40921° N, 0.64468° W"
DF2.2,21/05/2022,11:53,56.9,16.4,1021.7,3.5,3.1,4.6,1507,,,Bare,"51.40900° N, 0.64519° W"
DF3.1,21/05/2022,12:03,54,16.6,1021.7,5.5,7.5,20,296,,,Bare,"51.40954° N, 0.64459° W"
DF3.2,21/05/2022,12:27,51.5,17,1021.7,7.1,3.9,0,2800,,,Bare,"51.40914° N, 0.64522° W"
UG1.1,26/05/2022,10:18,62.2,17.2,1022.1,7.8,0.3,5.7,27.32,k,,Grass,"51.40759° N, 0.64830° W"
UG1.2,26/05/2022,10:41,60.4,18.7,1022.4,7.6,2,8.7,18.02,k,,Bare,"51.40719° N, 0.64884° W"
UG2.1,26/05/2022,10:54,61.3,19.5,1022.4,1.5,2.4,14.7,10.27,k,,Bare,"51.40791° N, 0.64640° W"
UG2.2,26/05/2022,11:15,54.5,21.5,1022.4,8.7,1.1,7.8,OL,,,Bare,"51.40741° N, 0.64635° W"
UG3.1,26/05/2022,11:24,59.8,17.5,1022.4,4.3,0.5,10.2,10,k,,Bare,"51.40794° N, 0.64597° W"
UG3.2,26/05/2022,11:41,58,18.6,1022.1,8.8,1.8,13.2,18.83,k,,Bare,"51.40745° N, 0.64591° W"
UG4.1,27/05/2022,10:23,34,26.6,1024.7,14,1.1,64,OL,,,Grass,"51.413700° N, 0.65078° W"
UG4.2,27/05/2022,11:31,33,25,1024.9,14.2,8,62,OL,,,Grass,"51.41299° N, 0.65087° W"
WF1.1,26/05/2022,12:10,63.7,17.8,1022.1,8.4,7.5,0,1.15,k,,Bare,"51.41277° N, 0.64678° W"
WF1.2,26/05/2022,12:52,62.6,18,1021.9,7.1,10.1,0,0.7,k,,Leaf and fern ,"51.41307° N, 0.64717° W"
WF2.1,27/05/2022,12:09,41.5,19.4,1024.9,17.2,9.8,76,945,,,Fern,"51.41235° N, 0.65406° W"
WF2.2,27/05/2022,13:03,48.9,18.9,1024.9,18,1.8,8,776,,,Fern,"51.41182° N, 0.65403° W"
WF3.1,27/05/2022,13:14,44.3,18.3,1024.9,17.3,4.1,31,337,,,Fern,"51.41368° N, 0.64732° W"
WF3.2,27/05/2022,14:02,50.6,18,1024.7,18.2,5.8,14.7,490,,,Bare,"51.41368° N, 0.64641° W"
DF4.1,01/06/2022,10:00,62.5,13.7,1016.7,,4.5,7.1,900,,,Leaf,"51.41244° N, 0.64081° W"
DF4.2,01/06/2022,10:17,61.8,13.5,1016.7,,5.6,6.2,1.64,k,,Bare,"51.41198° N, 0.64003° W"
DF5.1,01/06/2022,10:28,58.8,13.8,1016.7,,2.3,36,1.24,k,,Grass,"51.41213° N, 0.64185° W"
DF5.2,01/06/2022,10:49,68.1,13.7,1016.9,,3.3,33,2.1,k,,Bare,"51.41153° N, 0.64159° W"
UG5.1,01/06/2022,11:03,60,15.7,1016.9,,1.4,84.1,34.3,k,,Grass,"51.41244° N, 0.64149° W"
UG5.2,01/06/2022,11:23,50.6,17.8,1016.9,,4.9,17.2,13.72,k,,Grass,"51.41301° N, 0.64217° W"
CF1.1,02/06/2022,11:22,47.2,20.4,1021,5.3,14.9,115,6.42,k,,Fern,"51.37356° N, 0.73316° W"
CF1.2,02/06/2022,11:43,48.3,17.4,1020.7,7.3,4.2,31,2.13,k,,Bare,"51.37338° N, 0.73416° W"
CF2.1,02/06/2022,12:01,50.2,19.9,1020.7,15.7,10.4,54,7.36,k,,Fern,"51.37098° N, 0.72448° W"
CF2.2,02/06/2022,12:29,49.6,19.1,1020.7,7.3,12.6,125,6.44,k,,Bare,"51.37201° N, 0.72614° W"
CF3.1,02/06/2022,12:45,47,20.4,1020.3,7.4,7.6,84.5,14.36,k,,Fern,"51.37500° N, 0.72861° W"
CF3.2,02/06/2022,13:03,37.5,22.4,1020.3,8.1,8.1,112,OL,,,Bare,"51.37499° N, 0.72958° W"
CF4.1,02/06/2022,13:33,42.1,19.1,1019.8,8.2,3.1,70,10.18,k,,Fern,"51.38487° N, 0.73985° W"
CF4.2,02/06/2022,14:02,43.5,19.9,1019.8,9.5,19,24.1,46.7,k,Rabbit,Fern,"51.38494° N, 0.74096° W"
WF4.1,03/06/2022,11:39,51.9,21.5,1017.2,13.2,12.7,48,6.02,k,,Grass,"51.41264° N, 0.65109° W"
WF4.2,03/06/2022,12:09,52.9,22.1,1017.2,18.5,15.5,72.5,6.04,k,,Bare,"51.41218° N, 0.65168° W"
UG6.1,03/06/2022,12:56,30.7,28.9,1017,8.6,0.1,34,O.L,,,Grass,"51.41329° N, 0.64214° W"
UG6.2,03/06/2022,13:09,34.5,30.6,1017,0,2.4,17,OL,,,Grass,"51.41266° N, 0.64247° W"
DF6.1,09/06/2020,10:21,66,17.7,1012.9,11.3,14.2,0,0.93,k,,Bare,"51.41314° N, 0.64635° W"
DF6.2,09/06/2020,11:10,54,18.2,1012.5,7.1,9.6,143,7.15,k,,Fern,"51.41258° N, 0.64646° W"
UG7.1,09/06/2020,11:20,53.4,20.5,1012.5,0.3,1,11.1,18.5,k,,Grass,"51.41301° N, 0.64375° W"
